Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54939305,,,,,,,,,,23.8172978,23.77214263,25.5266253,23.4776392,25.14864322,25.06535696,23.98705301,22.89739984,25.40872643,24.15167099,25.7769266,,
Afghanistan,AFG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.57817377,24.24325882,50.71929787,44.31783924,50.8630046,59.48477588,42.32925145,42.09368445,44.58929949,37.02256957,43.92276561,39.22010998,,,,
Africa Western and Central,AFW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.652446,21.83001941,29.01577564,21.12295889,25.9032763,16.14544024,20.82556468,19.03264365,20.82301724,22.38553333,25.50050284,25.64917574,26.67132149,23.44983006,28.20923737,27.96735936,20.81883162,17.51166398,16.67113723,15.6076581,16.68495221,,
Albania,ALB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89095601,21.07820307,25.58272024,30.0333025,,,,24.83187811,22.90137634,22.79392199,,,,,,,23.01110698,23.00759072,24.16077295,24.38266544,24.44617575,23.95672943,23.8675951,23.2667946,23.15065465,24.78301643,
Andorra,AND,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05171862,23.85091249,,,,,,
United Arab Emirates,ARE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.053873636,6.548788474,6.200060621,,,,,,,,,,,,4.125499847,4.137731738,3.909725488,3.792108857,4.147898592,4.318281125,4.01528734,3.918249913,4.259323722,5.259171647,
Argentina,ARG,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32544045,11.20554093,11.80110992,14.28185612,14.90079242,15.51123069,15.16554764,15.01422186,15.09880054,16.7436857,16.83288838,16.9923529,19.67717064,19.83730299,16.87634164,,,,,,,,,,24.56978086,25.00839323,26.17991648,24.28253204,22.68778062,22.03648093,25.85394253,
